id,proverb,meaning,wrong1,wrong2,wrong3,category
2,"अक्‍कासिंदा जहाँ ताहाँ, पत्तालिँदा कहाँ कहाँ",माथि पुग्दा देख्नु ।,अकस्मात काम गर्दा सधैं सफलता मिल्छ,जति धेरै खोज्यो त्यति कम पाईन्छ,अकस्मात पाएको कुरा सधैं राम्रो हुन्छ,Fate and Caution
11,अड्को पड्को तेलको धूप,अर्थ न बर्थको काम गर्नु ।,धूप बाल्न तेल नभेटिएपछि अड्केको,तेलको अभावले धूप बाल्न नसकेको,तेल र धूपको सम्बन्ध नभएको,Fate and Caution
29,"अल्पानी बिल्पानी दिन गुमाई, जुनेली रातमा बिस्कुन सुकाई",बेलामा काम नगर्नु ।,जुनेली रातमा बिस्कुन सुकाउँदा राम्रो सुक्छ,दिउँसो समय बर्बाद गर्न ठीक छ,रातमा मात्र काम गर्दा फाइदा हुन्छ,Fate and Caution
60,अगाडि सयौं खाडलमा पर्यो,धेरै बाठो हुने लड्छ ।,सयौं खाडलमा खसेपछि उठ्न सकिँदैन,खाडलमा परेपछि कहिल्यै बाहिर आउन सकिन्न,खाडलमा परेपछि जीवन समाप्त हुन्छ,Fate and Caution
84,अपराधीको मनमा सधैँभरि त्रास,जस्तो काम उस्तै पिर,अपराधीले कहिल्यै डर मान्दैन,अपराधीको मन सधैँ शान्त हुन्छ,अपराधीलाई डराउनु पर्ने कुनै कारण हुँदैन,Fate and Caution
111,अभागी दिसा बस्यो बाह्र हातको काठ पस्यो,अभागीलाई जता पनि धोका हुन्छ ।,अभागी मानिसले जहिले पनि ठूला अवसर पाउँछ,दिसा बस्नेलाई काठको घर चाहिन्छ,अभागीले जहिले पनि सजिलो काम पाउँछ,Fate and Caution
117,"असीले खसी, साठीले पाठी",पैसाको तुजुक देखाउनु,"असी वर्षको मान्छेले खसी पालन गर्छ, साठी वर्षकोले पाठी पालन गर्छ","असी वर्षको मान्छेले खसी खानुपर्छ, साठी वर्षको मान्छेले पाठी खानुपर्छ","असी वर्ष पुगेपछि खसी किनेर खानुपर्छ, साठी वर्ष पुगेपछि पाठी किनेर खानुपर्छ",Fate and Caution
134,"अस्सीको चुट्की नब्बेको ताल, तबदेखि खैनीको हाल",खैनी खानेको बयान ।,खैनी खाँदा अस्सी र नब्बे वर्षको उमेरमा मात्र असर देखिन्छ,अस्सी र नब्बेको उमेरमा खैनी खाने नयाँ चलन सुरु भयो,खैनी खाँदा अस्सी र नब्बे वर्षको ताल मिलाउनुपर्छ,Fate and Caution
141,अति भएपछि मह पनि तितो हुन्छ,सीमा नचिन्नु,मह कहिल्यै तितो हुँदैन,अति गरेपछि सबै मिठो हुन्छ,मह तितो हुँदा स्वादिष्ट हुन्छ,Fate and Caution
190,अनिष्टबाट पनि इष्टलाभ हुन सक्छ,नपत्याउँदा पनि काम बन्ने ।,अनिष्ट हुँदा सधैं हानी मात्र हुन्छ,इष्टलाभको सम्भावना कहिल्यै हुँदैन,अनिष्ट भनेको सधैं नकारात्मक परिणाम हो,Fate and Caution
